Submission Number, AveErr, RMS, AUE, tau, R, maxErr, Percent Correct Sign, error slope, CorrectLipinski, compare slope
01, 2.28606 , 0.79790, 5.06603 , 0.46424, 4.26727 , 0.47764, 0.12596 , 0.12775, 0.20103 , 0.17667, 9.80000 , 0.53426, 54.54545 , 8.40534, 0.43667 , 0.09177, 0.51515 , 0.08629, 0.20086 , 0.45369
02, -0.47515 , 0.33370, 1.99997 , 0.23404, 1.57758 , 0.21165, 0.49381 , 0.09968, 0.65900 , 0.08928, 4.58000 , 0.39453, 78.78788 , 7.30422, 0.69227 , 0.09284, 0.75758 , 0.07235, 1.04833 , 0.20566
03, -7.61055 , 3.42810, 21.26015 , 2.55644, 15.90861 , 2.44020, 0.51669 , 0.09652, 0.58902 , 0.11719, 43.70100 , 1.57421, 63.63636 , 8.59640, -0.00000 , 0.00037, 0.42424 , 0.08794, 7.70467 , 1.72664
05, -7.94162 , 0.56287, 8.55588 , 0.63423, 7.94162 , 0.56287, 0.20782 , 0.11628, 0.28084 , 0.15163, 16.63700 , 1.35826, 57.57576 , 8.44910, 0.25063 , 0.04954, 0.51515 , 0.08909, 1.80006 , 0.76678
06, 1.14030 , 0.58079, 3.60471 , 0.30731, 3.01970 , 0.32615, 0.48092 , 0.11780, 0.65452 , 0.11973, 7.34000 , 0.68802, 72.72727 , 7.33278, 0.61029 , 0.10008, 0.63636 , 0.08676, 1.37715 , 0.35563
07, -0.36701 , 0.48680, 2.84501 , 0.40705, 2.13957 , 0.31458, 0.30697 , 0.10695, 0.52479 , 0.12840, 7.61831 , 0.95017, 78.78788 , 7.05962, 0.34438 , 0.08369, 0.84848 , 0.06425, 1.05111 , 0.28636
08, -1.65312 , 0.42311, 2.93632 , 0.52355, 1.98439 , 0.37341, 0.68066 , 0.06861, 0.77029 , 0.05666, 8.91100 , 1.16505, 87.87879 , 5.68267, 0.73802 , 0.09653, 0.78788 , 0.06509, 1.75570 , 0.26568
09, -5.14830 , 0.57506, 6.16230 , 0.68742, 5.21083 , 0.55752, 0.21926 , 0.11310, 0.29979 , 0.14416, 15.10522 , 1.79537, 57.57576 , 8.76023, 0.30535 , 0.06941, 0.51515 , 0.08097, 1.43623 , 0.54444
10, 0.32045 , 0.42982, 2.44962 , 0.22952, 2.01973 , 0.24336, 0.56245 , 0.09105, 0.71257 , 0.09134, 4.85900 , 0.37133, 72.72727 , 7.66636, 0.92346 , 0.08647, 0.66667 , 0.07885, 1.27974 , 0.20534
11, -7.02570 , 2.58155, 16.53976 , 3.12079, 9.23552 , 2.35329, 0.60059 , 0.09156, 0.66545 , 0.08161, 44.17900 , 2.40428, 78.78788 , 7.23490, 0.36372 , 0.09634, 0.81818 , 0.06763, 6.79095 , 1.50816
12, -7.61055 , 3.47278, 21.26015 , 2.60757, 15.90861 , 2.49827, 0.51669 , 0.09858, 0.58902 , 0.11323, 43.70100 , 1.64122, 63.63636 , 8.01539, -0.00000 , 0.00028, 0.42424 , 0.08540, 7.70467 , 1.77547
14, -0.73597 , 0.33886, 2.04080 , 0.30474, 1.48361 , 0.25134, 0.66160 , 0.06978, 0.79792 , 0.05315, 5.71800 , 0.82634, 93.93939 , 4.80059, 0.79986 , 0.10018, 0.84848 , 0.06322, 1.44411 , 0.22171
15, -1.44385 , 0.42610, 2.84983 , 0.47207, 1.99445 , 0.35377, 0.61203 , 0.08156, 0.75052 , 0.06636, 7.95100 , 0.94165, 78.78788 , 7.15402, 0.68675 , 0.10147, 0.78788 , 0.06823, 1.67798 , 0.28210
16, 0.09515 , 0.31664, 1.77534 , 0.26561, 1.33636 , 0.20579, 0.76775 , 0.05183, 0.89061 , 0.02809, 4.90000 , 0.70085, 90.90909 , 5.23686, 0.56545 , 0.09362, 0.93939 , 0.04722, 1.53401 , 0.16026
17, -4.48521 , 0.54269, 5.37232 , 0.61971, 4.56581 , 0.51857, 0.26502 , 0.11424, 0.41831 , 0.14364, 12.63152 , 1.35684, 60.60606 , 8.68440, 0.45162 , 0.07807, 0.54545 , 0.08623, 1.49375 , 0.48837
