Compound,log D,uncertainty
SAMPL5_002, 1.4394179747145293, 0.1975792462736745
SAMPL5_003, 1.9440887892705976, 0.06570816852889533
SAMPL5_004, 2.1837649975654387, 0.16822632610330387
SAMPL5_005, -0.8590999929183067, 0.05340155974517824
SAMPL5_006, -1.0189343534764097, 0.052780997306113
SAMPL5_007, 1.3766386107124182, 0.15888756082975117
SAMPL5_010, -1.6682546415819302, 0.24084306244708453
SAMPL5_011, -2.9614106061854644, 0.048795223581980844
SAMPL5_013, -1.4659627372671757, 0.2210789798706205
SAMPL5_015, -2.247781290063958, 0.14790372289159207
SAMPL5_017, 2.5292046768025926, 0.16722217804604433
SAMPL5_019, 1.1595075183708903, 0.20350931391963806
SAMPL5_020, 1.6423751896400676, 0.17980977566275783
SAMPL5_021, 1.1547607719177315, 0.17787628596178892
SAMPL5_024, 0.9724933699917218, 0.22097918140528938
SAMPL5_026, -2.5784614478405006, 0.07534481461526693
SAMPL5_027, -1.870789454152324, 0.03892730111118246
SAMPL5_033, 1.8000958936864182, 0.13661882347018725
SAMPL5_037, -1.5320564711606415, 0.05718465936565776
SAMPL5_042, -1.1392654520218866, 0.17808679149139287
SAMPL5_044, 1.007089221785024, 0.2466475479544618
SAMPL5_045, -2.088520839017883, 0.14032231828639563
SAMPL5_046, 0.20442874184563542, 0.1497336036589164
SAMPL5_047, -0.3738426056269706, 0.15765309669853222
SAMPL5_048, 0.942123811567809, 0.24285332990608458
SAMPL5_049, 1.283513763266814, 0.07312552953680534
SAMPL5_050, -3.2058325805993473, 0.32803141159677307
SAMPL5_055, -1.4833220582000233, 0.06111615106897123
SAMPL5_056, -2.456870493881832, 0.0829744536387994
SAMPL5_058, 0.8154704710072276, 0.057054723466257735
SAMPL5_059, -1.3297003497587023, 0.14729419946728287
SAMPL5_060, -3.8736650642322634, 0.1414800509567263
SAMPL5_061, -1.453792476833307, 0.053193234675699495
SAMPL5_063, -3.0192572562407376, 0.24754115842708463
SAMPL5_065, 0.6887768426793501, 0.12149719001914905
SAMPL5_067, -1.2821908199348835, 0.16911298437371125
SAMPL5_068, 1.4056481247566404, 0.14866533990352077
SAMPL5_069, -1.2633504607972066, 0.1766755961725221
SAMPL5_070, 1.6071046089742187, 0.1626203442020206
SAMPL5_071, -0.11291593715329995, 0.2889316252007656
SAMPL5_072, 0.6371501772976682, 0.18362202404047906
SAMPL5_074, -1.917640034367213, 0.18906814763009944
SAMPL5_075, -2.769711613771379, 0.1596491835345728
SAMPL5_080, -2.1814041883083526, 0.12068213865782806
SAMPL5_081, -2.191521253210125, 0.1609271337643303
SAMPL5_082, 2.479475225947474, 0.24147296602678278
SAMPL5_083, -1.8927150593642241, 0.23801340998001014
SAMPL5_084, -0.0159017762539313, 0.14017368612436615
SAMPL5_085, -2.204329683575273, 0.24544863017545693
SAMPL5_086, 0.6960432537406795, 0.10196357722695135
SAMPL5_088, -1.921266243337688, 0.1923508267276492
SAMPL5_090, 0.756173017861872, 0.1350140497012773
SAMPL5_092, -0.3865990470387648, 0.14942234801768572
